Data,PBEE_Hidroelectr,PBEE_Carbo,PBEE_GasNat,PBEE_Fuel-Oil,PBEE_CiclComb,PBEE_Nuclear,CDEEBC_ProdBruta,CDEEBC_ConsumAux,CDEEBC_ProdNeta,CDEEBC_ConsumBomb,CDEEBC_ProdDisp,CDEEBC_TotVendesXarxaCentral,CDEEBC_SaldoIntercanviElectr,CDEEBC_DemandaElectr,CDEEBC_TotalEBCMercatRegulat,CDEEBC_TotalEBCMercatLliure,FEE_Industria,FEE_Terciari,FEE_Domestic,FEE_Primari,FEE_Energetic,FEEI_ConsObrPub,FEEI_SiderFoneria,FEEI_Metalurgia,FEEI_IndusVidre,FEEI_CimentsCalGuix,FEEI_AltresMatConstr,FEEI_QuimPetroquim,FEEI_ConstrMedTrans,FEEI_RestaTransforMetal,FEEI_AlimBegudaTabac,FEEI_TextilConfecCuirCalçat,FEEI_PastaPaperCartro,FEEI_AltresIndus,DGGN_PuntFrontEnagas,DGGN_DistrAlimGNL,DGGN_ConsumGNCentrTerm,CCAC_GasolinaAuto,CCAC_GasoilA
11/2014,198.6,0,0,0,502.2,1515.2,2216,86.9,2129.1,41.6,2087.5,728.7,852,3668.2,0.0%,100.0%,1312.9,1170.5,762.3,29.2,44.5,19.3,131,12.8,27.9,32.4,23.1,429.1,63.8,104.8,179.1,62.7,76.1,150.8,5328.9,7.3,1128.5,61.8,267
12/2014,439.7,0,0,0,499.8,1830.1,2769.6,111.1,2658.5,52.2,2606.3,925.3,438.9,3970.6,0.0%,100.0%,1177.4,1065.5,878.9,26.8,42.2,18.5,137.1,11.6,25.1,23.8,23.8,365.4,61.1,92.5,154.4,56.7,70.5,136.8,6665,10.6,1154.9,70.3,287.1
01/2015,332.8,0,0,0,588.9,2299.3,3221.1,111.6,3109.4,51.2,3058.2,920.3,248,4226.5,0.0%,100.0%,1095.3,1174.3,1029.9,25.9,45.1,19.9,105.4,9.7,24.4,24.4,18.2,377.4,53.4,83,153.6,49.2,63.8,112.7,7366.7,11,1324.3,62.7,271.9
02/2015,301.2,0,0,0,466.4,2076.8,2844.4,99.5,2744.9,49.2,2695.7,812.6,428.5,3936.9,0.0%,100.0%,1199.5,1142.3,1024.9,26.3,48.1,20.6,125.3,11.5,25.8,29,20.7,402.2,63.3,94.1,146.3,56.6,71.2,132.9,6601.3,11.7,1045.9,58.3,269.7
03/2015,414.4,0,0,0,496.9,2352.1,3263.4,108.6,3154.8,47.5,3107.4,878,24.8,4010.1,0.0%,100.0%,1163.5,1085.3,959.4,26.1,43.2,19.3,134.1,11.9,24,24.1,20.6,367.5,62,100.4,139.7,58.3,63.5,138,6021,9.9,1178.7,67,301.7
04/2015,463.9,0,0,0,499.5,2029.4,2992.8,105.3,2887.6,47.6,2839.9,749.3,-8.2,3581.1,0.0%,100.0%,1309.7,1115.6,890.6,28.7,49.2,19.6,141.4,13.4,27.1,32.6,22.3,439,63.6,105,155.8,60.8,77.9,151.1,4839.3,4.3,1154.2,68.3,292.4
05/2015,453,0,0,0,557.6,1537.3,2547.9,89.2,2458.6,49.5,2409.1,803,494.2,3706.4,0.0%,100.0%,1194.4,1054.8,803.1,30.6,47.5,17.5,132.3,11.8,25,30.2,20.6,390.6,58.1,92.7,149.9,58.2,74.6,133,4663.1,2.4,1234.5,68.8,291.6
06/2015,459.5,0,0,0,633.4,1676.4,2769.3,97.6,2671.6,31.7,2639.9,708.3,542.6,3890.7,0.0%,100.0%,1327.2,1128.2,743.7,37.2,43.3,17.8,144.6,12.7,26.3,32.9,22.9,463.1,65,101,162.3,59.5,71.4,147.6,4649.4,2.3,1345.4,72.4,305.6
07/2015,278.9,0,0,0,815.6,2231.7,3326.2,126.5,3199.6,24.1,3175.5,762.2,624.4,4562.2,0.0%,100.0%,1317.3,1265.4,860.8,40.1,50.8,20.7,137.2,12.4,26,31.1,22.2,448.9,67.2,103.6,169.7,59.2,70.8,148.1,5043.5,1.1,1736.1,82.7,336.6
08/2015,279.9,0,0,0,729.6,2128.5,3138.1,122.8,3015.3,41.2,2974.1,744.6,101.9,3820.6,0.0%,100.0%,1348.7,1425.6,897.9,48.3,46.9,22.6,129.1,13.6,26.6,26.6,24.5,433.6,70.2,116.2,194.2,61.3,73.6,156.7,4297.1,2.6,1410,73.2,280
09/2015,213.8,0,0,0,505,2236.8,2955.7,114.5,2841.2,3,2838.2,706,184.8,3729,0.0%,100.0%,1159.2,1281.3,842.4,45.2,52.2,19.1,111.1,6.6,25.1,26.5,19.2,419.7,59.6,67.4,183.4,34.4,80.5,106.7,4487.7,2.4,1141.7,67.9,280.2
10/2015,198.3,0,0,0,501.2,2256.7,2956.3,120.2,2836.1,19,2817.1,722,241,3780,0.0%,100.0%,1272.3,1196.8,826.1,35.4,50.7,18.7,124,12.4,26,21,22,430.9,64.8,100.4,173.7,59.3,74.6,144.3,4937.2,5.5,1165.6,69.3,295.7
11/2015,188.6,0,0,0,631.6,1522.2,2342.4,87,2255.4,28.9,2226.5,760.4,822.7,3809.6,0.0%,100.0%,1311.7,1120.3,809.3,32.1,47.7,18.4,150.2,12.7,27.3,26.6,22,429.3,61.9,104.3,168,61.2,82.3,147.5,5758.9,7.7,1412.9,63.2,284.6
12/2015,198.2,0,0,0,722.5,1940.6,2861.3,113.9,2747.3,32.6,2714.7,598.6,644.8,3958.1,0.0%,100.0%,1240.5,1088.8,892.1,28,48,18.8,142.8,12.8,24.1,27,21,408.6,60.1,100.5,155.4,59.3,69,141.2,6636.2,12.6,1574.7,70.1,296.4
01/2016,220.5,0,0,0,565,2351.7,3137.2,118.2,3019.1,47.6,2971.4,807.8,266.6,4045.8,0.0%,100.0%,1120.6,1122,998.1,29,49.6,19.2,120,11,22.5,24.6,18,379,50.3,84.2,154.7,50.6,69.4,116.9,6504.6,14.8,1242.8,60.4,285.7
02/2016,262.5,0,0,0,499.9,1875.8,2638.3,100.1,2538.1,52.2,2486,813.3,587.4,3886.7,0.0%,100.0%,1200.4,1083,941.7,27.1,49.6,19.1,136.8,11.7,24.5,27.4,19.3,418.2,53.7,92.4,144.6,54.6,67.7,130.4,6059,13.4,1156,64,304
03/2016,351.2,0,0,0,437,2306.2,3094.3,105.7,2988.6,41.3,2947.3,871.8,221.5,4040.6,0.0%,100.0%,1229.4,1074.2,943.8,27.3,46.2,18.9,132.7,13.1,29.9,27.6,20.2,405.9,59.8,101.9,149.1,57.8,72.6,139.9,5882.8,14.4,1007.5,69.1,324.4
04/2016,412.1,0,0,0,432.6,2243.6,3088.4,107,2981.4,41.4,2940,765.7,7.6,3713.3,0.0%,100.0%,1277.7,1107.6,926.6,29.2,49,19.1,145.1,12.5,25.6,28.3,23.6,433.2,59.9,98.7,153.4,59,74,145.3,4926.1,5.6,998.8,67.2,318.1
05/2016,551.1,0,0,0,505.1,1579.5,2635.8,91.6,2544.2,35.4,2508.8,839.9,381.9,3730.7,0.0%,100.0%,1260,1061.6,818.6,32.1,47,17.6,140.4,13.1,26.1,33.2,21.9,402.5,60.4,102.9,160.3,59,79.3,143.2,4501.1,4.7,1145,70.7,309.1
06/2016,395.9,0,0,0,551.6,2024,2971.5,110.6,2860.9,8.6,2852.3,755.7,197.1,3805.1,0.0%,100.0%,1298.1,1087.4,791.1,33.1,46.4,17.4,142.5,13,26.5,32.1,22.2,442.6,61.8,99.9,161.1,56.6,79.6,142.8,4250.4,2.7,1210.8,75,316.6
07/2016,256.4,0,0,0,578.3,2295,3129.7,119.8,3009.9,7,3002.9,798.9,492.7,4294.5,0.0%,100.0%,1300.5,1228.1,835.2,41.3,40.3,19.5,143.2,12.7,23.3,29.5,23.5,420.2,68.2,105.7,172.4,60.8,71.7,149.9,4566.4,1.4,1237.9,82.5,330.9
08/2016,213.6,0,0,0,530.2,2294.6,3038.4,121.4,2916.9,8.2,2908.7,697.4,321.5,3927.6,0.0%,100.0%,1314.2,1364.5,879.2,47.4,41.5,21.7,119.7,13.5,25.3,30.4,23.4,427.7,66,107.9,186.9,57.2,74.8,159.6,4116.5,2.9,1159.9,79.6,308.1
09/2016,164.3,0,0,0,560.5,2230,2954.9,117.1,2837.8,5.2,2832.6,677.3,495.7,4005.6,0.0%,100.0%,1203.6,1350.1,891.8,52.5,50.2,20,93.8,7.8,25.2,30.4,21,458.9,53.9,70.8,187.8,36.6,81.1,116.2,4543.5,2.2,1238.4,71.9,304
10/2016,122.2,0,0,0,890.6,2208.4,3221.1,126.9,3094.2,12.2,3082,651.5,62.3,3795.8,0.0%,100.0%,1332.6,1271.2,844.9,42.1,51.1,22.2,139.9,13.5,26.4,30,21.5,432.7,70.4,106.5,184.6,59.3,74.2,151.2,5502.5,4.3,1876.2,69.8,299.9
11/2016,178.2,0,0,0,841.8,1492.7,2512.8,98.4,2414.4,24.6,2389.8,762.9,739.9,3892.6,0.0%,100.0%,1330,1148.6,844.5,34.2,49.3,19.7,140.4,13.1,27.1,31.6,23,460.1,61,97.6,170.7,64.6,75.5,145.5,6396.9,10.2,1776.4,66.3,302.3
12/2016,209.8,0,0,0,858.6,1835.7,2904.1,116.9,2787.2,13.6,2773.6,644.1,624.7,4042.3,0.0%,100.0%,1261.1,1104.8,902.8,28.6,49.6,19.9,132,13.5,25.6,29,20.2,417.9,61.2,98.8,163.3,58.4,74.7,146.5,7208.3,17.2,1801.8,70.2,301.4
