ANY,Codi municipi,Nom municipi,Comarca,Província,Núm instal·lacions,Potència (kW),Producció bruta (kWh),Consums propis (kWh),Producció neta (kWh),Consums bombament (kWh),Produccció disponible (kWh),Autoconsum (kWh),Vendes a la xarxa (kWh),Distribució pròpia (kWh),Energia tèrmica recuperada (Kcal)
2010,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,4,3005.9,"4,540,152.00",0,"4,540,152.00",0,"4,540,152.00",0,"4,540,152.00",0,0
2011,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,4,3005.9,"4,195,294.00",0,"4,195,294.00",0,"4,195,294.00",0,"4,195,294.00",0,0
2012,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"4,450,818.00",0,"4,450,818.00",0,"4,450,818.00",0,"4,450,818.00",0,0
2013,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"5,432,686.00",0,"5,432,686.00",0,"5,432,686.00",0,"5,432,686.00",0,0
2014,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"5,184,391.00",0,"5,184,391.00",0,"5,184,391.00",0,"5,184,391.00",0,0
2015,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,5,3805.9,"5,071,675.00",0,"5,071,675.00",0,"5,071,675.00",0,"5,071,675.00",0,0
2016,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,6,4130.9,"225,740.00","10,610.00","215,130.00",0,"215,130.00","215,130.00",0,0,"125,617,671.00"
2017,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,6,4130.9,"225,603.00","10,603.00","215,000.00",0,"215,000.00","215,000.00",0,0,"125,541,434.00"
2018,8001,ABRERA,BAIX LLOBREGAT,BARCELONA,6,4130.9,"543,000.00","57,000.00","486,000.00",0,"486,000.00","486,000.00",0,0,"647,580,000.00"
2010,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25002,AGER,NOGUERA,LLEIDA,2,55,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25003,AGRAMUNT,URGELL,LLEIDA,4,156.5,"258,620.00",0,"258,620.00",0,"258,620.00",0,"258,620.00",0,0
2011,25003,AGRAMUNT,URGELL,LLEIDA,7,216.7,"348,852.00",0,"348,852.00",0,"348,852.00",0,"348,852.00",0,0
2012,25003,AGRAMUNT,URGELL,LLEIDA,8,235.9,"380,327.00",0,"380,327.00",0,"380,327.00",0,"380,327.00",0,0
2013,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,"419,364.00",0,"419,364.00",0,"419,364.00",0,"419,364.00",0,0
2014,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,"372,498.00",0,"372,498.00",0,"372,498.00",0,"372,498.00",0,0
2015,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,"409,978.00",0,"409,978.00",0,"409,978.00",0,"409,978.00",0,0
2016,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,0,0,0,0,0,0,0,0,0
2017,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,0,0,0,0,0,0,0,0,0
2018,25003,AGRAMUNT,URGELL,LLEIDA,9,255.9,0,0,0,0,0,0,0,0,0
2010,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8002,AGUILAR DE SEGARRA,BAGES,BARCELONA,1,605,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8014,AIGUAFREDA,VALLES ORIENTAL,BARCELONA,1,3.4,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43001,AIGUAMURCIA,ALT CAMP,TARRAGONA,1,7.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,"46,458.00",0,"46,458.00",0,"46,458.00",0,"46,458.00",0,0
2011,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,"49,045.00",0,"49,045.00",0,"49,045.00",0,"49,045.00",0,0
2012,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,"45,133.00",0,"45,133.00",0,"45,133.00",0,"45,133.00",0,0
2013,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,"42,963.00",0,"42,963.00",0,"42,963.00",0,"42,963.00",0,0
2014,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,"41,893.00",0,"41,893.00",0,"41,893.00",0,"41,893.00",0,0
2015,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,"40,119.00",0,"40,119.00",0,"40,119.00",0,"40,119.00",0,0
2016,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,0,0,0,0,0,0,0,0,0
2017,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,0,0,0,0,0,0,0,0,0
2018,17002,AIGUAVIVA,GIRONES,GIRONA,3,32.8,0,0,0,0,0,0,0,0,0
2010,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"141,445,207.00","460,407.00","140,984,800.00",0,"10,947,800.00",0,"10,947,800.00",0,0
2011,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"116,907,810.00","428,914.00","116,478,896.00",0,"9,080,896.00",0,"9,080,896.00",0,0
2012,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"95,518,257.00","366,203.00","95,152,054.00",0,"7,776,054.00",0,"7,776,054.00",0,0
2013,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"160,623,408.00","430,000.00","160,193,408.00",0,"13,089,408.00",0,"13,089,408.00",0,0
2014,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"158,221,997.00","430,338.00","157,791,659.00",0,"13,441,659.00",0,"13,441,659.00",0,0
2015,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"136,025,295.00","428,688.00","135,596,607.00",0,"11,699,607.00",0,"11,699,607.00",0,0
2016,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"113,956,866.00","401,229.00","113,555,637.00",0,"9,384,637.00",0,"9,384,637.00",0,0
2017,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"124,533,288.00","91,364.00","124,441,924.00",0,"10,055,865.00",0,"10,055,865.00",0,0
2018,25038,AITONA,SEGRIA,LLEIDA,5,49696.9,"148,162,626.00","466,241.00","147,696,385.00",0,"11,663,997.00",0,"11,663,997.00",0,0
2010,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25004,"ALAMUS, ELS",SEGRIA,LLEIDA,1,1500,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25005,ALAS I CERC,ALT URGELL,LLEIDA,1,15,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25007,ALBATARREC,SEGRIA,LLEIDA,2,35,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25008,ALBESA,NOGUERA,LLEIDA,20,2733.5,"4,593,208.00",0,"4,593,208.00",0,"4,593,208.00",0,"4,593,208.00",0,0
2011,25008,ALBESA,NOGUERA,LLEIDA,20,2733.5,"4,994,676.00",0,"4,994,676.00",0,"4,994,676.00",0,"4,994,676.00",0,0
2012,25008,ALBESA,NOGUERA,LLEIDA,20,2733.5,"5,312,365.00",0,"5,312,365.00",0,"5,312,365.00",0,"5,312,365.00",0,0
2013,25008,ALBESA,NOGUERA,LLEIDA,21,3195.5,"5,584,451.00",0,"5,584,451.00",0,"5,584,451.00",0,"5,584,451.00",0,0
2014,25008,ALBESA,NOGUERA,LLEIDA,21,3195.5,"5,394,343.00",0,"5,394,343.00",0,"5,394,343.00",0,"5,394,343.00",0,0
2015,25008,ALBESA,NOGUERA,LLEIDA,21,3195.5,"5,483,902.00",0,"5,483,902.00",0,"5,483,902.00",0,"5,483,902.00",0,0
2016,25008,ALBESA,NOGUERA,LLEIDA,21,3195.5,0,0,0,0,0,0,0,0,0
2017,25008,ALBESA,NOGUERA,LLEIDA,21,3195.5,0,0,0,0,0,0,0,0,0
2018,25008,ALBESA,NOGUERA,LLEIDA,21,3195.5,0,0,0,0,0,0,0,0,0
2012,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43002,ALBINYANA,BAIX PENEDES,TARRAGONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,17004,ALBONS,BAIX EMPORDA,GIRONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,17004,ALBONS,BAIX EMPORDA,GIRONA,2,22.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,17004,ALBONS,BAIX EMPORDA,GIRONA,1,20,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,43004,ALCANAR,MONTSIA,TARRAGONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43004,ALCANAR,MONTSIA,TARRAGONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43004,ALCANAR,MONTSIA,TARRAGONA,1,2.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43004,ALCANAR,MONTSIA,TARRAGONA,2,42.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43004,ALCANAR,MONTSIA,TARRAGONA,2,42.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43004,ALCANAR,MONTSIA,TARRAGONA,2,42.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43004,ALCANAR,MONTSIA,TARRAGONA,2,42.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43004,ALCANAR,MONTSIA,TARRAGONA,2,42.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43004,ALCANAR,MONTSIA,TARRAGONA,2,42.5,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25011,ALCARRAS,SEGRIA,LLEIDA,15,17796.9,"115,881,603.00","9,844,915.00","106,036,688.00",0,"106,036,688.00",0,"106,036,688.00",0,"126,528,454,600.00"
2011,25011,ALCARRAS,SEGRIA,LLEIDA,15,17796.9,"117,733,267.00","9,200,559.00","108,532,708.00",0,"108,532,708.00",0,"108,532,708.00",0,"127,329,949,660.00"
2012,25011,ALCARRAS,SEGRIA,LLEIDA,15,17796.9,"119,220,579.00","8,741,856.00","110,478,723.00",0,"110,478,723.00",0,"110,478,723.00",0,"128,146,284,880.00"
2013,25011,ALCARRAS,SEGRIA,LLEIDA,16,17994.9,"125,067,714.00","8,867,279.00","116,200,435.00",0,"116,200,435.00","58,987.00","116,141,448.00",0,"121,017,652,000.00"
2014,25011,ALCARRAS,SEGRIA,LLEIDA,15,3354.9,"20,120,351.00","1,256,383.00","18,863,968.00",0,"18,863,968.00","123,379.00","18,740,589.00",0,"11,255,076,280.00"
2015,25011,ALCARRAS,SEGRIA,LLEIDA,16,17994.9,"3,939,672.00","51,825.00","3,887,847.00",0,"3,887,847.00","184,541.00","3,703,306.00",0,"471,912,293.00"
2016,25011,ALCARRAS,SEGRIA,LLEIDA,15,17274.9,"18,234,581.00","1,336,421.00","16,898,160.00",0,"16,898,160.00",0,"16,898,160.00",0,"12,169,288,099.00"
2017,25011,ALCARRAS,SEGRIA,LLEIDA,12,1409.9,"2,045,745.00","147,467.00","1,898,278.00",0,"1,898,278.00",0,"1,898,278.00",0,"1,342,816,547.00"
2018,25011,ALCARRAS,SEGRIA,LLEIDA,12,1409.9,0,0,0,0,0,0,0,0,0
2010,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,"225,003.00",0,"225,003.00",0,"225,003.00",0,"225,003.00",0,0
2011,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,"235,794.00",0,"235,794.00",0,"235,794.00",0,"235,794.00",0,0
2012,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,"232,708.00",0,"232,708.00",0,"232,708.00",0,"232,708.00",0,0
2013,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,"224,736.00",0,"224,736.00",0,"224,736.00",0,"224,736.00",0,0
2014,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,"215,135.00",0,"215,135.00",0,"215,135.00",0,"215,135.00",0,0
2015,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,"211,555.00",0,"211,555.00",0,"211,555.00",0,"211,555.00",0,0
2016,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,0,0,0,0,0,0,0,0,0
2017,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,0,0,0,0,0,0,0,0,0
2018,25012,ALCOLETGE,SEGRIA,LLEIDA,4,148.8,0,0,0,0,0,0,0,0,0
2010,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43005,ALCOVER,ALT CAMP,TARRAGONA,1,4600,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,6000,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,6000,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,2,6100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,2,6100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43904,"ALDEA, L'",BAIX EBRE,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,"1,780,772.00",0,"1,780,772.00",0,"1,780,772.00",0,"1,780,772.00",0,0
2011,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,"1,963,745.00",0,"1,963,745.00",0,"1,963,745.00",0,"1,963,745.00",0,0
2012,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,"1,990,065.00",0,"1,990,065.00",0,"1,990,065.00",0,"1,990,065.00",0,0
2013,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,"1,937,080.00",0,"1,937,080.00",0,"1,937,080.00",0,"1,937,080.00",0,0
2014,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,"1,828,551.00",0,"1,828,551.00",0,"1,828,551.00",0,"1,828,551.00",0,0
2015,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,"1,936,682.00",0,"1,936,682.00",0,"1,936,682.00",0,"1,936,682.00",0,0
2016,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,0,0,0,0,0,0,0,0,0
2017,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,0,0,0,0,0,0,0,0,0
2018,43006,ALDOVER,BAIX EBRE,TARRAGONA,12,1200,0,0,0,0,0,0,0,0,0
2010,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,43007,"ALEIXAR, L'",BAIX CAMP,TARRAGONA,1,100,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,8003,ALELLA,MARESME,BARCELONA,1,3.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,8003,ALELLA,MARESME,BARCELONA,2,8.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,8003,ALELLA,MARESME,BARCELONA,2,8.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,8003,ALELLA,MARESME,BARCELONA,2,8.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,8003,ALELLA,MARESME,BARCELONA,2,8.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,8003,ALELLA,MARESME,BARCELONA,2,8.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,8003,ALELLA,MARESME,BARCELONA,2,8.3,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2011,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2012,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2013,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2014,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2015,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2016,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2017,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2018,25013,ALFARRAS,SEGRIA,LLEIDA,1,520,SE,SE,SE,SE,SE,SE,SE,SE,SE
2010,25014,ALFES,SEGRIA,LLEIDA,7,450,"838,788.00",0,"838,788.00",0,"838,788.00",0,"838,788.00",0,0
2011,25014,ALFES,SEGRIA,LLEIDA,7,450,"892,013.00",0,"892,013.00",0,"892,013.00",0,"892,013.00",0,0
2012,25014,ALFES,SEGRIA,LLEIDA,7,450,"891,364.00",0,"891,364.00",0,"891,364.00",0,"891,364.00",0,0
2013,25014,ALFES,SEGRIA,LLEIDA,7,450,"846,523.00",0,"846,523.00",0,"846,523.00",0,"846,523.00",0,0
2014,25014,ALFES,SEGRIA,LLEIDA,7,450,"811,524.00",0,"811,524.00",0,"811,524.00",0,"811,524.00",0,0
2015,25014,ALFES,SEGRIA,LLEIDA,7,450,"785,186.00",0,"785,186.00",0,"785,186.00",0,"785,186.00",0,0
2016,25014,ALFES,SEGRIA,LLEIDA,7,450,0,0,0,0,0,0,0,0,0
2017,25014,ALFES,SEGRIA,LLEIDA,7,450,0,0,0,0,0,0,0,0,0
2018,25014,ALFES,SEGRIA,LLEIDA,7,450,0,0,0,0,0,0,0,0,0
